state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",03/01/2020,5000,5655,5330
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",04/01/2020,5080,5675,5380
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",06/01/2020,5090,5630,5360
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",07/01/2020,5000,5750,5375
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",08/01/2020,4880,5630,5255
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",09/01/2020,5110,5675,5395
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",10/01/2020,4810,5700,5255
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",11/01/2020,5155,5775,5465
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",13/01/2020,5230,5730,5480
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",15/01/2020,5285,5650,5465
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",16/01/2020,5255,5655,5400
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",17/01/2020,5090,5600,5345
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",18/01/2020,5100,5755,5430
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",20/01/2020,5190,5705,5450
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",21/01/2020,4800,5705,5250
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",22/01/2020,4635,5635,5135
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",23/01/2020,5075,5715,5395
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",24/01/2020,4990,5715,5350
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",25/01/2020,5000,5700,5350
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",27/01/2020,4500,5660,5080
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",28/01/2020,5080,5580,5315
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",29/01/2020,4955,5625,5290
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",30/01/2020,4250,5595,4920
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",31/01/2020,4350,5620,4985
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",03/02/2020,4250,5555,4900
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",04/02/2020,4810,5555,5180
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",05/02/2020,4500,5600,5050
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",06/02/2020,4430,5470,5000
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",07/02/2020,4620,5595,5010
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",08/02/2020,4350,5580,4965
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",10/02/2020,4250,5530,4890
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",11/02/2020,4500,5540,5020
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",12/02/2020,4250,5555,4900
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",13/02/2020,4550,5605,5075
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",14/02/2020,4710,5565,5135
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",15/02/2020,4250,5565,4910
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",18/02/2020,4250,5515,4880
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",19/02/2020,4070,5540,4805
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",20/02/2020,4270,5515,4890
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",22/02/2020,4000,5425,4710
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",25/02/2020,3750,5505,4630
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",26/02/2020,3870,5510,4690
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",27/02/2020,3875,5510,4695
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",28/02/2020,4500,5500,5000
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",29/02/2020,3525,5375,4450
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",04/03/2020,3750,5450,4600
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",05/03/2020,4350,5505,4930
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",06/03/2020,3975,5480,4725
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",07/03/2020,3620,5545,4580
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",09/03/2020,3750,5500,4625
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",11/03/2020,4100,5500,4800
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",12/03/2020,3850,5540,4695
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",14/03/2020,4000,5505,4750
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",16/03/2020,3950,5520,4735
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",17/03/2020,4510,5520,5015
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",18/03/2020,3750,5560,4555
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",19/03/2020,3760,5375,4570
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",20/03/2020,3470,5130,4300
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",21/03/2020,3510,5250,4380
Gujarat,Amreli,Amreli,Cotton,Other,01/01/2020,3500,5645,5105
Gujarat,Amreli,Amreli,Cotton,Other,02/01/2020,3650,5615,5140
Gujarat,Amreli,Amreli,Cotton,Other,03/01/2020,3950,5750,5195
Gujarat,Amreli,Amreli,Cotton,Other,04/01/2020,3500,5685,5150
Gujarat,Amreli,Amreli,Cotton,Other,06/01/2020,3750,5670,5140
Gujarat,Amreli,Amreli,Cotton,Other,07/01/2020,3500,5575,5060
Gujarat,Amreli,Amreli,Cotton,Other,08/01/2020,4150,5575,5090
Gujarat,Amreli,Amreli,Cotton,Other,09/01/2020,3650,5685,5125
Gujarat,Amreli,Amreli,Cotton,Other,10/01/2020,3525,5655,5150
Gujarat,Amreli,Amreli,Cotton,Other,11/01/2020,3650,5715,5235
Gujarat,Amreli,Amreli,Cotton,Other,13/01/2020,4000,5665,5190
Gujarat,Amreli,Amreli,Cotton,Other,15/01/2020,3500,5655,5170
Gujarat,Amreli,Amreli,Cotton,Other,16/01/2020,3500,5575,5060
Gujarat,Amreli,Amreli,Cotton,Other,17/01/2020,3500,5650,5165
Gujarat,Amreli,Amreli,Cotton,Other,18/01/2020,3500,5630,5135
Gujarat,Amreli,Amreli,Cotton,Other,20/01/2020,3500,5620,5120
Gujarat,Amreli,Amreli,Cotton,Other,21/01/2020,3500,5630,5140
Gujarat,Amreli,Amreli,Cotton,Other,22/01/2020,3650,5580,5070
Gujarat,Amreli,Amreli,Cotton,Other,23/01/2020,4200,5600,5120
Gujarat,Amreli,Amreli,Cotton,Other,24/01/2020,3490,5600,5110
Gujarat,Amreli,Amreli,Cotton,Other,25/01/2020,3495,5525,5020
Gujarat,Amreli,Amreli,Cotton,Other,27/01/2020,3625,5555,5055
Gujarat,Amreli,Amreli,Cotton,Other,28/01/2020,3500,5540,5000
Gujarat,Amreli,Amreli,Cotton,Other,29/01/2020,3505,5545,5035
